name,dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
telecom_adpcm_d,1,81.39,27.12,82.001,40.599,43.65,80.444,81.492,82.682,85.419,83.791,82.621,43.132,83.954,83.588,44.413,42.928,86.08,79.529,81.034,74.972,50.863,84.015,44.769,84.493,56.346,84.635,83.893,82.998,84.239,82.469,44.606,84.758,88.236,43.233,86.049,53.975,64.341,88.287,86.782,87.016,46.733,90.841,46.875,70.231,46.885,90.006,90.261,89.091,45.705,46.163,88.654,46.499,89.162,45.37,87.606,90.383,86.721,88.135,90.332,86.263,72.327,45.644,90.637,88.064,82.326,43.549,82.062,82.164,85.429,84.778,83.822,41.646,43.315,42.847,84.646,81.868,82.855,44.128,43.274,43.498,44.434,67.708,42.613,53.029,43.844,42.531,44.769,82.021,79.03,80.251,82.886,81.441,83.608,80.902,43.844,43.366,45.909,86.894,83.567,88.877,87.728,45.746,85.48,44.769,89.803,87.555,89.071,88.542,43.905,86.07,86.497,88.033,90.729,45.461,43.66,45.929,86.853,46.356,44.973,85.917,87.87,70.526,45.542,44.902,86.182,90.21,87.524,45.644
telecom_adpcm_d,2,1735.53,2268.34,1735.66,1305.0,1407.23,2186.11,1322.75,1265.32,1939.96,1335.58,1347.09,1448.04,1332.79,1665.03,1451.02,1492.86,2008.4,1874.56,1752.63,1792.37,1275.6,1813.4,3360.19,1837.4,1581.87,1275.93,1783.47,1937.76,1494.21,2302.37,1347.86,1395.44,2643.9,2087.26,1368.09,2150.36,1632.83,1425.71,1406.71,1418.95,1546.42,1453.43,1428.63,1406.95,1658.72,1363.28,1500.74,1598.5,1333.57,1363.48,2293.58,2112.07,1404.29,1352.49,1425.9,1394.89,1877.83,1319.16,2852.93,1800.46,1377.55,1513.35,1476.53,1945.63,1901.75,1497.89,1169.64,1263.4,1308.29,1712.64,1796.7,1379.41,1406.97,1479.98,1441.49,1341.35,1856.34,1317.57,1439.9,1382.55,1307.14,1404.15,1387.81,1518.55,1486.56,1373.91,1713.22,1839.5,1217.29,1365.45,1522.78,1487.11,1583.06,1962.86,1416.51,1436.45,1692.46,2650.49,1504.11,1506.61,1451.04,1478.9,1464.5,1463.18,1891.56,2024.86,1576.18,2159.76,1501.12,1820.68,1532.67,1404.63,1820.07,1427.88,1378.98,1544.33,2118.06,1339.8,1427.8,1603.72,2581.33,1406.29,1489.97,1439.44,1825.38,1407.4,1482.97,1439.75
telecom_adpcm_d,3,136.77,202.606,129.354,167.755,208.689,259.45,174.957,171.214,149.974,171.071,170.624,172.963,212.443,220.378,112.762,165.09,171.987,171.295,133.962,266.815,169.312,171.702,136.749,165.741,169.474,141.042,171.57,169.444,137.034,137.41,208.272,171.478,136.871,132.996,156.972,173.086,137.858,139.008,139.516,218.119,279.531,124.797,182.22,222.555,141.958,146.24,267.873,269.653,178.996,278.941,144.531,180.593,145.447,141.001,142.904,177.521,173.147,223.185,174.459,168.376,140.94,123.362,142.446,143.433,135.661,170.237,204.447,228.587,133.698,169.271,162.303,133.972,136.749,135.417,138.031,265.086,137.512,132.334,167.104,244.802,213.806,190.409,269.653,136.21,180.766,170.247,130.442,168.142,170.858,132.884,135.813,161.641,171.112,269.623,170.705,173.462,171.641,159.108,269.073,136.434,138.997,196.238,215.017,139.628,180.562,273.153,171.844,270.955,180.695,279.002,142.497,144.735,178.029,158.04,225.332,181.549,178.446,141.357,125.946,269.582,275.106,179.067,180.837,131.795,142.619,140.981,180.583,182.536
telecom_adpcm_d,4,233.205,401.449,194.733,257.426,243.368,308.39,308.543,292.511,351.379,223.287,220.876,404.012,222.188,331.818,260.986,213.511,306.458,202.393,326.945,368.724,404.266,405.385,335.866,203.451,387.146,232.035,400.798,239.37,332.53,266.347,309.835,292.399,210.185,251.485,373.596,234.202,209.595,222.727,340.068,342.336,424.245,216.197,281.586,430.562,346.873,254.588,424.123,329.936,217.478,328.4,356.171,233.134,351.359,217.631,289.653,262.522,352.905,217.529,429.779,352.397,217.224,284.739,217.611,253.469,266.307,223.684,283.203,324.697,202.26,214.895,213.664,200.368,203.623,310.486,291.117,325.083,201.294,220.49,377.696,302.104,406.748,232.402,287.893,233.551,204.193,390.055,245.29,225.149,317.169,331.889,330.098,239.034,302.216,400.482,231.669,397.054,412.516,227.651,209.727,271.556,264.537,312.703,271.23,271.189,215.658,261.169,352.325,217.031,329.814,329.966,352.62,245.433,217.672,323.049,296.295,238.871,328.939,280.955,137.095,246.633,330.485,243.449,429.952,266.49,357.646,283.447,234.599,431.702
telecom_adpcm_d,5,209.32,299.398,319.936,241.791,202.871,203.267,259.827,196.594,332.794,205.078,297.872,382.131,264.231,307.159,305.389,404.185,204.854,328.491,307.17,312.429,230.998,333.089,264.414,266.195,267.09,310.638,265.127,235.972,266.5,309.825,337.677,232.503,321.849,208.496,210.154,307.363,247.559,210.256,240.702,269.938,216.817,260.132,298.737,335.642,293.365,353.811,354.828,329.946,427.806,215.871,426.005,260.518,255.778,267.629,316.711,259.827,325.439,332.011,328.339,324.972,352.366,217.0,431.763,260.874,310.099,266.317,193.695,198.924,264.038,330.221,195.394,322.784,203.471,202.403,203.044,393.809,205.424,238.678,291.463,201.365,221.049,205.78,204.346,267.456,244.08,219.584,204.163,240.285,267.293,404.134,230.835,232.29,299.347,263.926,406.026,320.669,204.59,340.393,325.724,208.252,338.867,267.965,312.541,262.685,282.827,280.263,216.98,261.871,427.806,237.915,282.44,222.056,230.764,326.965,327.413,345.103,218.292,276.276,337.046,285.472,353.892,276.154,216.614,282.42,217.885,430.318,218.028,432.485
office_stringsearch1,1,12.604,33.61,36.163,36.519,17.934,32.247,35.024,15.157,33.498,18.005,18.341,35.777,35.431,33.325,18.982,34.119,18.138,20.681,30.955,35.726,32.552,28.31,12.695,29.205,34.098,32.023,33.63,34.159,32.766,33.915,34.882,29.012,33.356,16.673,32.827,14.984,33.976,34.943,12.482,11.007,30.741,34.77,29.999,34.414,31.535,23.682,34.037,33.447,28.534,35.136,34.058,36.214,18.88,35.818,35.573,32.481,35.187,19.684,35.177,33.01,17.568,35.665,30.833,33.234,34.383,34.587,18.911,18.188,32.4,14.659,31.718,31.179,35.014,34.251,15.92,31.576,20.213,35.878,34.943,33.407,12.726,11.617,15.625,33.681,16.256,33.081,32.155,35.899,35.929,32.674,18.199,16.429,18.931,34.068,33.427,33.763,13.021,32.145,32.104,17.141,31.087,12.4,33.488,30.914,31.972,33.936,32.857,36.062,17.446,35.522,35.38,34.597,33.651,33.732,35.94,34.698,35.838,34.119,18.484,29.633,31.006,18.677,34.79,37.048,13.794,12.065,34.414,33.569
office_stringsearch1,2,50.201,55.969,56.976,54.84,37.13,45.42,54.158,28.91,54.586,30.975,34.902,55.013,55.135,52.307,52.684,57.729,32.918,19.419,54.301,18.168,56.061,54.84,23.112,56.814,57.648,53.06,54.169,54.332,56.02,56.915,55.023,53.691,56.071,30.365,58.177,37.852,53.619,54.596,22.634,18.168,58.818,55.359,51.849,53.548,54.382,53.172,54.281,54.565,55.003,55.786,57.007,55.278,30.111,56.213,56.966,56.844,52.928,27.232,55.501,54.667,38.696,54.179,32.115,54.454,56.274,55.776,36.397,28.025,54.535,16.978,51.931,53.864,56.956,54.392,30.06,53.833,57.729,57.709,30.304,56.112,23.448,23.082,29.093,57.017,29.144,53.457,28.971,54.81,55.979,57.037,33.264,29.592,30.609,56.956,56.295,55.461,19.409,53.843,51.27,29.348,54.84,29.185,55.512,51.025,55.695,54.647,53.497,55.054,29.002,57.841,23.061,18.778,54.504,56.234,52.012,56.681,45.125,52.297,29.521,53.101,54.972,22.441,56.559,52.968,19.074,23.376,54.108,54.077
office_stringsearch1,3,92.417,84.422,93.119,83.842,84.381,83.394,83.974,43.396,94.411,56.569,94.666,82.092,86.517,89.986,86.436,86.904,30.05,29.012,93.964,44.027,88.287,88.532,35.767,84.503,93.292,54.281,90.881,54.27,90.352,89.671,86.67,86.802,93.943,43.966,89.925,43.559,84.442,86.762,28.015,28.32,87.229,88.572,91.482,85.754,89.762,90.647,87.352,86.355,49.011,89.233,89.752,39.612,46.539,90.688,87.779,85.622,94.421,46.702,93.17,88.308,90.129,87.84,45.37,87.067,92.773,28.259,93.262,44.383,28.483,28.137,84.605,85.225,92.814,87.199,58.624,88.348,89.986,88.145,87.85,86.049,30.223,34.475,48.075,86.456,47.089,89.549,87.738,86.955,93.74,87.809,91.197,45.196,86.711,90.261,86.141,82.865,43.04,86.446,89.6,42.867,28.381,27.7,81.868,71.32,94.33,89.915,91.543,87.545,82.814,88.298,28.758,28.473,93.313,86.863,88.664,83.73,35.95,89.498,46.427,86.039,94.208,34.953,89.366,83.679,28.371,35.767,83.822,84.371
office_stringsearch1,4,890.513,1109.75,846.476,931.183,726.054,944.509,478.485,639.516,871.023,846.151,736.735,595.072,833.364,841.807,821.604,879.181,535.868,693.705,879.954,538.981,880.473,551.056,521.159,760.752,800.1,740.55,823.1,712.708,1212.09,952.067,947.5,981.374,719.859,829.386,526.805,743.296,971.13,668.996,579.356,900.441,1046.47,574.697,879.842,1024.61,970.194,580.353,691.518,712.362,1059.58,564.504,824.3,774.15,629.496,589.355,616.048,832.153,1018.53,573.283,991.994,628.286,764.313,726.908,776.296,942.129,671.01,471.619,874.98,831.309,738.515,749.217,682.17,810.71,829.59,852.427,849.487,869.771,1055.42,979.736,753.225,1088.81,551.056,726.735,823.303,860.067,854.604,838.298,778.534,788.208,1020.01,879.018,606.791,870.117,899.312,1155.83,748.505,1009.45,642.069,617.198,999.959,789.317,804.82,576.508,1058.91,778.188,1041.59,843.567,1051.57,793.05,856.191,761.627,534.342,645.243,833.588,617.971,763.092,1021.89,653.381,1066.03,674.255,892.324,913.239,937.561,775.818,660.268,479.095,849.019,800.13,830.2
office_stringsearch1,5,110.189,110.036,117.381,71.991,70.292,72.154,56.051,60.659,76.945,64.616,75.531,71.604,73.68,140.656,71.971,72.266,53.324,49.204,76.294,67.749,73.802,73.741,71.777,71.065,148.356,140.706,75.897,72.062,73.649,45.136,69.885,72.235,76.762,72.662,58.462,68.705,71.93,117.452,44.078,71.584,75.49,74.27,74.28,105.489,73.293,74.036,131.805,69.733,76.233,74.137,73.395,72.184,73.558,71.696,71.004,72.947,77.281,72.896,72.825,137.115,73.059,73.293,136.058,70.994,150.157,103.078,75.856,133.901,44.769,72.55,139.72,71.838,77.22,139.872,145.721,71.625,141.347,95.673,71.859,71.574,118.815,44.413,73.71,135.386,142.68,74.188,71.859,137.919,148.244,140.472,76.08,72.316,74.005,103.638,71.818,71.991,75.948,70.333,146.261,73.537,55.908,99.233,70.73,83.954,78.512,91.441,74.382,97.005,71.472,72.337,72.001,71.035,77.525,74.137,75.938,140.483,73.14,72.774,71.767,71.554,51.229,73.059,75.297,72.479,56.814,133.647,71.96,72.439
